,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
2760,Audi,Q3,Audi Q3,35 TDI quattro Technology,32.75,2018-06-01,6,2018,49702.0,Diesel,15.17,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3897,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,LXi,4.9,2012-06-01,6,2012,49000.0,Petrol,16.02,Manual,Maroon,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
1455,Mahindra,XUV500,Mahindra XUV500,W8,7.77,2013-05-01,5,2013,89310.0,Diesel,15.1,Manual,Grey,Second,3.9,4.5,5.0,5.0,3.6,4.5,2.3,4.7,2.0
3901,Nissan,Sunny,Nissan Sunny,XE D,5.99,2017-06-01,6,2017,31900.0,Diesel,22.81,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4515,Honda,Amaze,Honda Amaze,1.5 S i-DTEC,2.74,2013-06-01,6,2013,44252.0,Diesel,25.8,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
2349,Toyota,Innova,Toyota Innova,2.8 GX AT 7 STR [2016-2020],18.9,2019-02-01,2,2019,56000.0,Diesel,14.29,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
1959,MarutiSuzuki,Omni,MarutiSuzuki Omni,E 8 STR BS-IV,2.79,2017-05-01,5,2017,25695.0,Petrol,16.8,Manual,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2011,MarutiSuzuki,Swift,MarutiSuzuki Swift,LXi,5.57,2018-05-01,5,2018,14365.0,Petrol,20.4,Manual,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2177,MarutiSuzuki,S-Presso,MarutiSuzuki S-Presso,VXi AMT,5.25,2021-02-01,2,2021,12600.0,Petrol,21.7,Automatic,White,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
2037,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Sigma 1.4 MT,6.71,2017-10-01,10,2017,63147.0,Petrol,20.73,Manual,Brown,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
700,Tata,Tiago,Tata Tiago,Revotron XT [2016-2019],5.49,2018-06-01,6,2018,29422.0,Petrol,27.28,Manual,Orange,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
434,Tata,Nexon,Tata Nexon,XZ Plus Diesel,8.64,2019-05-01,5,2019,83901.0,Diesel,23.97,Manual,White,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
3040,Hyundai,i10,Hyundai i10,Magna,2.95,2010-06-01,6,2010,82000.0,Petrol,13.2,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
4421,Honda,Jazz,Honda Jazz,V AT Petrol,7.29,2017-05-01,5,2017,21271.0,Petrol,19.0,Automatic,Silver,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
3066,Hyundai,Elite i20,Hyundai Elite i20,Sportz Plus 1.4 CRDi,8.5,2019-06-01,6,2019,70000.0,Diesel,22.5,Manual,Silver,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
3530,MarutiSuzuki,Ignis,MarutiSuzuki Ignis,Delta 1.2 MT,5.0,2019-06-01,6,2019,52000.0,Petrol,20.84,Manual,White,First,4.3,4.5,5.0,5.0,3.6,2.5,4.6,4.7,2.2
4610,Audi,A4,Audi A4,2.0 TDI Sline,7.9,2012-06-01,6,2012,100000.0,Diesel,22.74,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1565,Ford,Ecosport,Ford Ecosport,Titanium+ 1.0L EcoBoost,7.75,2017-06-01,6,2017,59000.0,Petrol,18.9,Manual,Red,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.5
4783,Toyota,Innova,Toyota Innova,GX 2.4 7 STR,17.49,2019-06-01,6,2019,60000.0,Diesel,15.6,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
1848,Skoda,Rapid,Skoda Rapid,Style 1.6 MPI AT,9.5,2018-05-01,5,2018,50000.0,Petrol,14.84,Automatic,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
565,Mahindra,Thar,Mahindra Thar,LX 4-STR Hard Top Diesel MT,15.95,2020-11-01,11,2020,33233.0,Diesel,13.28,Manual,Grey,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.2
2271,Mahindra,Marazzo,Mahindra Marazzo,M2 8 STR,8.9,2020-09-01,9,2020,88000.0,Diesel,17.3,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
938,Audi,A3,Audi A3,35 TDI Premium + Sunroof,17.0,2015-06-01,6,2015,27000.0,Diesel,19.2,Automatic,Red,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3327,Ford,Fiesta/Classic,Ford Fiesta/Classic,1.4 TDCi CLXi,3.35,2013-06-01,6,2013,106581.0,Diesel,19.05,Manual,Grey,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3266,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Delta Hybrid 1.5 AT [2018-2020],8.9,2019-09-01,9,2019,27000.0,Petrol,20.28,Automatic,Grey,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.8
5100,Hyundai,Elantra,Hyundai Elantra,CRDi Leather,6.95,2014-06-01,6,2014,44200.0,Diesel,18.84,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3801,Renault,Duster,Renault Duster,110 PS RxL Diesel,3.55,2013-06-01,6,2013,8700.0,Diesel,19.01,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3965,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E350 CDI Avantgarde,12.5,2011-06-01,6,2011,67000.0,Diesel,12.74,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
283,Hyundai,i20 Active,Hyundai i20 Active,1.2 SX,4.55,2016-05-01,5,2016,100848.0,Petrol,17.19,Manual,Brown,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
5027,Mercedes-Benz,GLE,Mercedes-Benz GLE,250 d,46.5,2017-06-01,6,2017,53500.0,Diesel,17.76,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3132,Honda,WR-V,Honda WR-V,VX MT Petrol,7.15,2017-05-01,5,2017,77210.0,Petrol,17.5,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
2927,Honda,Jazz,Honda Jazz,V AT Petrol,7.9,2018-06-01,6,2018,22000.0,Petrol,19.0,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
1894,Skoda,Superb,Skoda Superb,2.0 TDI PD,7.5,2010-06-01,6,2010,110000.0,Diesel,12.5,Automatic,Beige,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
1681,Porsche,718,Porsche 718,Cayman [2017-2020],88.0,2018-06-01,6,2018,30000.0,Petrol,17.76,Automatic,Red,Second,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
693,Hyundai,Creta,Hyundai Creta,SX Plus 1.6  Petrol,12.59,2018-06-01,6,2018,45144.0,Petrol,15.29,Manual,Black,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
1097,Toyota,Fortuner,Toyota Fortuner,3.0 4x2 AT,16.0,2014-06-01,6,2014,120000.0,Diesel,12.55,Automatic,White,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4744,Volvo,XC90,Volvo XC90,Momentum Luxury [2015-2020],36.5,2016-06-01,6,2016,130000.0,Diesel,14.7,Automatic,Black,Third,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
3992,Jeep,Wrangler,Jeep Wrangler,Rubicon,66.5,2021-06-01,6,2021,6500.0,Petrol,10.0,Automatic,Grey,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
1104,Toyota,Innova,Toyota Innova,2.4 ZX 7 STR [2016-2020],16.45,2016-06-01,6,2016,55000.0,Diesel,15.1,Manual,Grey,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4931,BMW,7-Series,BMW 7-Series,740Li,65.0,2017-06-01,6,2017,58500.0,Petrol,12.23,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
4068,Jaguar,XJ,Jaguar XJ,3.0 Diesel,20.95,2011-06-01,6,2011,40000.0,Diesel,13.53,Automatic,Green,Second,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3365,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,5 STR WITH A/C+HTR [2019-2020],4.5,2018-06-01,6,2018,57000.0,Petrol,16.2,Manual,Silver,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
996,Audi,A6,Audi A6,3.0 TDI quattro,12.5,2011-03-01,3,2011,38000.0,Diesel,18.48,Automatic,Gold,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2856,MarutiSuzuki,Eeco,MarutiSuzuki Eeco,5 STR WITH A/C+HTR [2019-2020],4.7,2020-05-01,5,2020,26252.0,Petrol,16.2,Manual,Grey,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
973,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,VXi+,6.5,2016-08-01,8,2016,49000.0,Petrol,20.73,Manual,Brown,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3207,Honda,City,Honda City,ZX CVT Petrol,16.25,2022-03-01,3,2022,6188.0,Petrol,18.0,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.7
2545,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,ZDi,9.45,2019-06-01,6,2019,69500.0,Diesel,24.29,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
5145,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi [2014-2019],3.1,2015-06-01,6,2015,31000.0,Petrol,24.07,Manual,Grey,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4507,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Alpha Automatic,7.91,2018-05-01,5,2018,45866.0,Petrol,19.56,Automatic,Blue,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
4765,Toyota,Etios,Toyota Etios,1.4 VD,5.6,2015-06-01,6,2015,51000.0,Diesel,23.59,Manual,Red,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
4121,Mitsubishi,Pajero,Mitsubishi Pajero,2.5 AT,14.5,2015-06-01,6,2015,80000.0,Diesel,17.76,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
2764,Audi,R8,Audi R8,Coupe 4.2 FSI quattro,58.0,2011-06-01,6,2011,21000.0,Petrol,15.77,Automatic,Blue,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
5049,Honda,City,Honda City,1.5 S MT,3.1,2009-06-01,6,2009,90000.0,Petrol,11.6,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1950,Hyundai,Elite i20,Hyundai Elite i20,Era 1.2,5.08,2018-05-01,5,2018,26226.0,Petrol,19.8,Manual,Black,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
1646,BMW,5-Series,BMW 5-Series,520d Luxury Line [2017-2019],49.9,2019-06-01,6,2019,18000.0,Diesel,22.48,Automatic,White,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
2863,MarutiSuzuki,Swift DZire,MarutiSuzuki Swift DZire,VXI,4.05,2013-05-01,5,2013,154104.0,Petrol,19.1,Manual,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
5159,Fiat,Linea,Fiat Linea,Emotion 1.3 MJD,1.55,2009-06-01,6,2009,82000.0,Diesel,14.0,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
806,Volkswagen,Beetle,Volkswagen Beetle,1.4 TSI,32.0,2016-06-01,6,2016,7600.0,Petrol,17.68,Automatic,Red,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2553,Honda,City,Honda City,V,5.95,2015-03-01,3,2015,79813.0,Petrol,15.84,Manual,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
4084,Jaguar,XF,Jaguar XF,3.0 V6 S Premium Luxury,16.49,2012-06-01,6,2012,75000.0,Diesel,17.22,Automatic,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
4625,Mahindra,XUV500,Mahindra XUV500,W8,5.9,2012-06-01,6,2012,78000.0,Diesel,15.1,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1207,Renault,Duster,Renault Duster,85 PS RxE Diesel,5.0,2014-06-01,6,2014,71000.0,Diesel,20.45,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1931,Mahindra,XUV500,Mahindra XUV500,W8,9.9,2015-06-01,6,2015,80000.0,Diesel,15.1,Manual,Grey,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
1818,Skoda,Superb,Skoda Superb,L&K TSI AT,36.5,2021-01-01,1,2021,25000.0,Petrol,14.81,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
2572,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,LXI CNG,5.15,2018-08-01,8,2018,24345.0,CNG,19.7,Manual,Silver,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2406,Toyota,Innova,Toyota Innova,2.5 VX 8 STR BS-IV,9.13,2015-05-01,5,2015,154935.0,Diesel,12.99,Manual,Blue,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
3517,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E250 CDI Avantgarde,24.85,2014-06-01,6,2014,53666.0,Diesel,14.2,Automatic,Brown,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
3554,MarutiSuzuki,Esteem,MarutiSuzuki Esteem,VXi,89000.0,2004-06-01,6,2004,80000.0,Petrol,17.76,Manual,Silver,Second,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
4891,Honda,City,Honda City,V CVT Petrol [2017-2019],11.5,2019-06-01,6,2019,50000.0,Petrol,18.0,Automatic,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
3712,Toyota,Innova,Toyota Innova,GX 2.4 7 STR,17.49,2019-06-01,6,2019,60000.0,Diesel,15.6,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
3161,MarutiSuzuki,Swift,MarutiSuzuki Swift,VXi ABS,5.96,2017-05-01,5,2017,63107.0,Petrol,20.4,Manual,Grey,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
862,Volkswagen,Vento,Volkswagen Vento,Highline Diesel AT,5.99,2015-06-01,6,2015,119000.0,Diesel,21.21,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3860,Honda,Jazz,Honda Jazz,V CVT Petrol,7.5,2018-06-01,6,2018,43300.0,Petrol,19.0,Automatic,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,2.9
116,BMW,3-Series,BMW 3-Series,320d Luxury Line,20.55,2015-06-01,6,2015,30698.0,Diesel,22.69,Automatic,White,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
4056,Audi,A4,Audi A4,2.0 TDI Sline,7.9,2012-06-01,6,2012,100000.0,Diesel,22.74,Manual,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
2291,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,LXI,3.75,2016-06-01,6,2016,72000.0,Petrol,20.5,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2812,Audi,A6,Audi A6,35 TDI Matrix,45.0,2018-06-01,6,2018,15000.0,Diesel,16.66,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
1911,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,Alpha 1.4 MT,10.0,2020-06-01,6,2020,32000.0,Petrol,20.73,Manual,Blue,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
5095,Hyundai,Verna,Hyundai Verna,EX 1.6 CRDi [2017-2018],4.25,2012-06-01,6,2012,90000.0,Diesel,19.41,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
1488,Audi,A6,Audi A6,2.0 TDI Premium,16.0,2014-04-01,4,2014,58600.0,Diesel,16.66,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
376,MarutiSuzuki,S-Cross,MarutiSuzuki S-Cross,Zeta 1.3,8.55,2017-06-01,6,2017,84000.0,Diesel,23.65,Manual,White,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
4916,Mercedes-Benz,GLC,Mercedes-Benz GLC,220 d Progressive,67.0,2021-06-01,6,2021,21000.0,Diesel,17.76,Automatic,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
218,Hyundai,Elite i20,Hyundai Elite i20,Asta 1.2 (O) [2019-2020],7.23,2018-06-01,6,2018,9669.0,Petrol,19.8,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
704,Honda,Jazz,Honda Jazz,V Petrol,8.49,2018-06-01,6,2018,30028.0,Petrol,18.7,Manual,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
1152,Renault,Duster,Renault Duster,110 PS RxL Diesel,3.5,2013-06-01,6,2013,8700.0,Diesel,19.01,Manual,Silver,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1586,Hyundai,Grand i10,Hyundai Grand i10,Era 1.2 Kappa VTVT [2016-2017],5.25,2019-06-01,6,2019,36000.0,Petrol,18.9,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.2
1654,Mercedes-Benz,GLS,Mercedes-Benz GLS,Grand Edition Diesel,78.0,2019-06-01,6,2019,34500.0,Diesel,11.17,Automatic,Black,Second,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
3971,BMW,7-Series,BMW 7-Series,730Ld M Sport,109.0,2019-06-01,6,2019,16500.0,Diesel,11.1,Automatic,Blue,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3593,BMW,X5,BMW X5,SAV 3.0d,45.0,2016-08-01,8,2016,48800.0,Diesel,32.26,Manual,Silver,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3426,Hyundai,Grand i10,Hyundai Grand i10,Magna 1.2 Kappa VTVT [2017-2020],4.43,2016-05-01,5,2016,31651.0,Petrol,19.77,Manual,Maroon,Second,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
2828,Audi,A7,Audi A7,Sportback 3.0 TDI quattro,19.5,2012-06-01,6,2012,81000.0,Diesel,13.88,Automatic,Red,Second,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3973,BMW,7-Series,BMW 7-Series,740Li DPE Signature,110.0,2019-06-01,6,2019,13500.0,Petrol,12.8,Automatic,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
2378,Kia,Seltos,Kia Seltos,HTX IVT 1.5 [2019-2020],16.25,2020-11-01,11,2020,19600.0,Petrol,16.5,Automatic,Grey,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
1936,Hyundai,Elite i20,Hyundai Elite i20,Sportz 1.2,7.5,2018-06-01,6,2018,17000.0,Petrol,19.8,Manual,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.6
3076,Volkswagen,Polo,Volkswagen Polo,GT TSI,6.75,2016-05-01,5,2016,65031.0,Petrol,17.21,Automatic,Red,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
1114,MarutiSuzuki,Ciaz,MarutiSuzuki Ciaz,ZDi [2014-2015],5.75,2015-06-01,6,2015,78000.0,Diesel,21.96,Manual,Bronze,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
5092,Honda,City,Honda City,VX CVT Petrol [2017-2019],9.85,2017-06-01,6,2017,67100.0,Petrol,18.0,Automatic,White,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
5259,Honda,Brio,Honda Brio,S MT,3.75,2013-10-01,10,2013,53000.0,Petrol,23.4,Manual,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
2445,Kia,Sonet,Kia Sonet,HTK Plus 1.0 iMT [2020-2021],10.8,2021-11-01,11,2021,13973.0,Petrol,18.2,Manual,Black,First,4.7,4.5,5.0,5.0,3.6,5.0,5.0,4.7,4.2
3194,Volkswagen,Beetle,Volkswagen Beetle,2.0 AT,15.75,2009-06-01,6,2009,37000.0,Petrol,11.3,Automatic,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
4000,MarutiSuzuki,Ritz,MarutiSuzuki Ritz,Zxi BS-IV,2.9,2011-06-01,6,2011,49000.0,Petrol,16.55,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3009,MarutiSuzuki,Alto 800,MarutiSuzuki Alto 800,Lxi,3.2,2016-06-01,6,2016,36460.0,Petrol,22.74,Manual,Silver,First,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
5128,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E350 CDI BlueEfficiency,8.75,2010-06-01,6,2010,68000.0,Diesel,12.74,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4442,Hyundai,Grand i10,Hyundai Grand i10,Sports Edition 1.2L Kappa VTVT,4.95,2015-05-01,5,2015,34715.0,Petrol,18.9,Manual,Blue,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
4571,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,ZXi 1.2 AMT,5.99,2019-06-01,6,2019,28590.0,Petrol,20.52,Automatic,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
548,Honda,City,Honda City,V,9.75,2018-07-01,7,2018,25447.0,Petrol,15.84,Manual,Brown,First,4.5,4.5,3.2,5.0,3.6,4.3,5.0,4.7,3.0
380,MarutiSuzuki,Swift,MarutiSuzuki Swift,VDi ABS,6.8,2017-06-01,6,2017,81698.0,Diesel,25.2,Manual,White,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
529,Kia,Seltos,Kia Seltos,GTX Plus AT 1.4 [2019-2020],18.0,2019-06-01,6,2019,19500.0,Petrol,16.5,Automatic,Grey,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.0
307,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,VXi,8.99,2020-07-01,7,2020,33985.0,Petrol,17.0,Manual,White,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.8
1351,MarutiSuzuki,Vitara Brezza,MarutiSuzuki Vitara Brezza,ZXi,10.25,2021-09-01,9,2021,1782.0,Petrol,17.0,Manual,White,First,4.8,4.7,5.0,5.0,4.3,5.0,5.0,5.0,3.6
4590,Mercedes-Benz,GLS,Mercedes-Benz GLS,Grand Edition Diesel,78.0,2019-06-01,6,2019,34500.0,Diesel,11.17,Automatic,Black,Second,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3668,BMW,7-Series,BMW 7-Series,730Ld M Sport,109.0,2019-06-01,6,2019,16500.0,Diesel,11.1,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
2945,Volkswagen,Vento,Volkswagen Vento,Highline Diesel AT,6.0,2015-11-01,11,2015,126052.0,Diesel,21.21,Automatic,Brown,Second,4.5,4.5,5.0,5.0,3.9,5.0,5.0,4.7,2.3
794,BMW,X5,BMW X5,SAV 3.0d,45.0,2016-10-01,10,2016,48800.0,Diesel,18.6,Manual,Grey,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3402,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Delta 1.2 AT,7.29,2018-05-01,5,2018,54764.0,Petrol,21.4,Automatic,Grey,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
4032,MarutiSuzuki,Baleno,MarutiSuzuki Baleno,Alpha 1.3,6.2,2015-06-01,6,2015,78000.0,Diesel,27.39,Manual,Blue,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
53,Ford,Ecosport,Ford Ecosport,Titanium+ 1.5L TDCi,8.0,2017-06-01,6,2017,85000.0,Diesel,22.27,Manual,Mars Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
4450,Honda,Brio,Honda Brio,VX MT,5.26,2017-05-01,5,2017,28491.0,Petrol,18.5,Manual,Red,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
2307,MarutiSuzuki,XL6,MarutiSuzuki XL6,Alpha MT Petrol,10.2,2019-08-01,8,2019,48000.0,Petrol,19.01,Manual,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.2,3.6
928,Mercedes-Benz,GL-Class,Mercedes-Benz GL-Class,350 CDI,43.0,2015-07-01,7,2015,63800.0,Diesel,17.76,Automatic,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
5039,Jeep,Wrangler,Jeep Wrangler,Unlimited 4x4 Diesel,47.5,2019-06-01,6,2019,33500.0,Diesel,12.1,Automatic,Blue,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
128,BMW,3-Series,BMW 3-Series,320d Highline Sedan,8.55,2011-06-01,6,2011,41770.0,Diesel,18.7,Manual,Silver,First,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,4.1
4377,Volvo,XC60,Volvo XC60,Kinetic,23.5,2017-06-01,6,2017,140000.0,Diesel,14.7,Automatic,Grey,First,4.4,4.1,5.0,5.0,3.6,4.3,5.0,4.7,2.5
842,Hyundai,Creta,Hyundai Creta,SX 1.6 (O) Petrol,13.49,2019-06-01,6,2019,76000.0,Petrol,15.29,Manual,Black,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
1040,LandRover,Evoque,LandRover Evoque,SE Dynamic,48.5,2020-06-01,6,2020,27000.0,Diesel,15.6,Automatic,Red,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
