,brand,brand_model,make,model,price,year,model_month,model_year,km_used,fuel_type,mileage,transmission,color,no_of_owners,overall_condition,engine_condition,suspension_condition,brakes_condition,electrical_condition,ac_condition,exterior_condition,interior_condition,tyre_condition
4809,Hyundai,Verna,Hyundai Verna,EX 1.6 CRDi [2017-2018],4.25,2012-06-01,6,2012,90000.0,Diesel,19.41,Manual,White,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.6
40,MarutiSuzuki,Ertiga,MarutiSuzuki Ertiga,VDi 1.3 Diesel,9.0,2022-01-01,1,2022,100.0,Diesel,25.47,Manual,Pearl Metallic Oxford Blue,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
3356,MarutiSuzuki,Alto,MarutiSuzuki Alto,VXi,2.85,2013-06-01,6,2013,78000.0,Petrol,20.2,Manual,Red,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
2893,Renault,Triber,Renault Triber,RXT [2019-2020],6.07,2019-05-01,5,2019,29759.0,Petrol,20.0,Manual,Red,First,4.5,4.5,5.0,5.0,3.6,4.3,5.0,4.7,2.4
2316,LandRover,Freelander,LandRover Freelander,SE TD4,14.5,2013-07-01,7,2013,81000.0,Diesel,22.69,Automatic,Black,First,4.9,4.7,5.0,5.0,5.0,5.0,5.0,4.8,4.5
5198,Mercedes-Benz,M-Class,Mercedes-Benz M-Class,ML 250 CDI,25.5,2015-06-01,6,2015,80000.0,Diesel,10.42,Automatic,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3941,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 220d Expression [2019-2019],45.0,2017-06-01,6,2017,38000.0,Diesel,12.06,Automatic,Black,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3110,Hyundai,Eon,Hyundai Eon,Era +,2.84,2013-05-01,5,2013,61839.0,Petrol,21.1,Manual,Grey,Second,4.3,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.1
5116,Audi,A4,Audi A4,2.0 TDI Sline,12.5,2013-06-01,6,2013,90000.0,Diesel,17.39,Manual,Silver,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
4600,BMW,5-Series,BMW 5-Series,525d Sedan,12.0,2011-06-01,6,2011,80000.0,Diesel,17.24,Automatic,Grey,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
920,BMW,5-Series,BMW 5-Series,520d Luxury Line,27.75,2016-06-01,6,2016,47400.0,Diesel,18.12,Automatic,Grey,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
3535,Volkswagen,Polo,Volkswagen Polo,Comfortline 1.0L (P),6.85,2018-06-01,6,2018,62528.0,Petrol,18.78,Manual,Brown,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.5,3.6
4060,Toyota,Fortuner,Toyota Fortuner,3.0 4x2 AT,12.5,2012-06-01,6,2012,100000.0,Diesel,12.55,Automatic,Black,Second,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
3329,Honda,City,Honda City,1.5 S MT,4.5,2011-06-01,6,2011,87954.0,Petrol,11.6,Manual,Silver,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
5026,BMW,7-Series,BMW 7-Series,740Li DPE Signature,110.0,2019-06-01,6,2019,13500.0,Petrol,12.8,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
2974,MarutiSuzuki,Wagon R,MarutiSuzuki Wagon R,VXI+,4.75,2017-02-01,2,2017,38878.0,Petrol,20.5,Manual,White,Second,4.7,4.5,5.0,5.0,3.6,4.3,5.0,4.7,5.0
5016,BMW,5-Series,BMW 5-Series,520d Modern Line,14.9,2012-06-01,6,2012,42000.0,Diesel,18.48,Automatic,White,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
3340,Hyundai,Venue,Hyundai Venue,SX 1.4 (O) CRDi,10.4,2019-06-01,6,2019,62532.0,Diesel,17.92,Manual,White,First,4.6,4.2,5.0,5.0,3.6,4.3,5.0,4.7,3.9
3558,Hummer,H2,Hummer H2,SUV,69.5,2005-06-01,6,2005,120000.0,Petrol,18.1,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
2642,MarutiSuzuki,SX4,MarutiSuzuki SX4,ZXI MT BS-IV,3.45,2010-04-01,4,2010,19000.0,Petrol,15.5,Manual,Beige,First,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.3
374,Mercedes-Benz,GLC,Mercedes-Benz GLC,220 d Progressive,44.0,2018-06-01,6,2018,76819.0,Diesel,17.76,Automatic,Black,First,4.5,4.2,5.0,5.0,3.6,4.3,5.0,4.7,2.9
4070,Hyundai,Verna,Hyundai Verna,Fluidic 1.6 CRDi SX,5.75,2015-06-01,6,2015,82000.0,Diesel,19.41,Manual,Silver,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
4158,Mercedes-Benz,E-Class,Mercedes-Benz E-Class,E 220d Expression [2019-2019],58.0,2019-06-01,6,2019,31029.0,Diesel,12.06,Automatic,Grey,First,4.2,4.5,5.0,5.0,3.6,4.3,3.2,4.7,3.3
1118,Hyundai,Verna,Hyundai Verna,EX 1.6 CRDi [2017-2018],4.25,2012-06-01,6,2012,90000.0,Diesel,19.41,Manual,White,First,4.6,4.5,5.0,4.8,3.6,4.3,5.0,4.7,3.6
4978,BMW,5-Series,BMW 5-Series,520d Luxury Line,22.5,2015-06-01,6,2015,74000.0,Diesel,18.12,Automatic,Brown,Second,4.6,4.5,5.0,5.0,3.6,4.3,5.0,4.7,3.1
